groupid;id;Anzahl_Vorhanden
;04ad10d314e85ba04c110d8dc49ccad1b29dfd24;32.0
;04ad3dd5132ba26dbe828686426ea1178eae9d03;3.0
;04b0ed57e3f6df7699429759981669480e069331;1.0
;04b480cf1a154b69663bdcda453053ecd0ff4f20;20.0
;04b8c5b3045c5c1dc04daa37fc2f3386ecb4af11;1.0
;04bc8b1201ca497fa544cf0253c270b9235449b7;2.0
;04bd5b09e98140362f51bf099d08794cf29a123b;2.0
;04bd6ebf4328fdd7872dd0a86fce435dcd16b0bf;1.0
;04be940585ea52e7480a22cba62458f33a45c0b0;3.0
;04c20d5a76c3d02669ebd809a1e9a936f417a156;1.0
;04c66369c3642b97003019671e7b31cb55e0fd05;4.0
;04c6cec07a569b24be317c9d93217db511ab5d32;10.0
;04cf03c8c81114a422dd3b9295e4b6615ee4e0b5;3.0
;04d2787f30b22426b35dadeb7055f53cc744fba1;24.0
;04d4d8bd6256e1e44e2ef0f92928641894c5135d;8.0
;04d7cff7dd4ddf67f755649c9d05b01a11cf861d;1.0
;04d9696544cc6967e879b36d88fe40c8294c8c02;21.0
;04dbe7914fa27ae4e39307c3a2762541d60d5076;1.0
;04dd5db6168394dbb2aab1ed4a6c3732ff655cd9;1.0
;04e03bfa159c08a55075414eb4ee6a41f51b549d;13.0
;04e3ceaa3a4e9921f4f55430d648b9ca12639a2a;6.0
;04ea9e8c5e0806fc815c3696e05013e24794c8a4;9.0
;04eacba4c536fca54a852032a1180bda3cf09ca4;9.0
;04eae04ff6f0c48334884b57148f4b54e434db63;1.0
;04ebfcd5c5836a29d069dce053067d52744722fa;1.0
;04ebff0b53c49f3ca7023e249b4e2e4c41e6be83;1.0
;04ed989704f03b89e938e5c7ab6cbf41dd894d29;6.0
;04efc5968fb42e2b18cb81c191b0a6f07a7bb57d;1.0
;04f4e26ecc5a309a17bc474b16bec658f5e6fe7c;1.0
;04fa9b98f1675229d91615f41a90038efd96e5fa;20.0
;04fca1677ab041f0b725bef948e77f734ce8107f;3.0
